Estado,Edu_2000_Total,Edu_2000_H,Edu_2000_M,Edu_2010_Total,Edu_2010_H,Edu_2010_M,Edu_2015_Total,Edu_2015_H,Edu_2015_M,Edu_2020_Total,Edu_2020_H,Edu_2020_M,PIB_2010,PIB_2015,PIB_2020
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,1.219199986878,1.130754092209,1.103011809687
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,96.078720011108,102.935467644533,98.696767547534
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,3.941897309262,0.974860032008,-10.592774162933
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,0.048621432085,0.0112648984,-0.12055150337
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,156265.66199999998,199165.66,236452.44400000002
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,1.218519702294,1.138153597191,1.076811935827
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,89.302590497933,106.237325167395,131.543256093697
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,4.364716124738,4.333047378352,3.789686864667
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,97786.134,114062.99899999998,107339.93
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,0.681322492983,0.687979697027,0.658667523598
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,94.363149442852,110.070245956721,103.582516676396
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,5.10287370614,4.657692644642,-11.320595159978
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,0.034784926244,0.031594057073,-0.077565414074
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,88014.112,123019.281,148047.872
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,0.686311555458,0.703006919938,0.67421470866
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,90.006740628482,107.852048498216,137.924323222495
Nayarit,7.26,7.19,7.33,8.61,8.47,8.74,9.16,9.05,9.26,9.73,9.56,9.89,4.847998150053,4.482268245188,2.148728800068
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,1025184.258,1228082.513,1268066.1300000004
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,7.142946201627,7.407273547291,7.78120479122
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,91.127498267238,109.162900427049,112.717000053972
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,7.605386741199,5.762629132736,-7.617443492867
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,0.530887867489,0.41646347726,-0.591863400771
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,943374.112,1337539.4630000002,1765681.179
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,7.356190268509,7.643513200008,8.04096813824
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,92.019956865159,108.912833530429,139.242042447739
Nuevo LeÃ³n,8.84,9.09,8.60,9.81,9.99,9.63,10.27,10.47,10.08,10.74,10.88,10.60,2.964057317948,4.691318281031,3.906057045327
Oaxaca,5.62,6.06,5.23,6.94,7.28,6.64,7.52,7.83,7.25,8.12,8.35,7.92,228089.144,260612.9070000001,237528.104
Oaxaca,5.62,6.06,5.23,6.94,7.28,6.64,7.52,7.83,7.25,8.12,8.35,7.92,1.589205522864,1.571906668867,1.457538197077
Oaxaca,5.62,6.06,5.23,6.94,7.28,6.64,7.52,7.83,7.25,8.12,8.35,7.92,92.901956001429,106.149062576685,96.746496040649
Oaxaca,5.62,6.06,5.23,6.94,7.28,6.64,7.52,7.83,7.25,8.12,8.35,7.92,1.593883463151,4.145555491235,-6.075460067247
